STATE,RURALITY,MARITAL_STATUS,NUM_DEPENDENTS,INCOME_BAND,HEM
NSW,METRO,1,0,0,298
NSW,METRO,1,1,0,417
NSW,METRO,1,2,0,531
NSW,METRO,1,3,0,659
NSW,METRO,1,4,0,787
NSW,METRO,1,5,0,915
NSW,METRO,1,6,0,1043
NSW,METRO,1,7,0,1171
NSW,METRO,1,8,0,1299
NSW,METRO,1,9,0,1427
NSW,METRO,1,10,0,1555
NSW,METRO,1,0,26000,314
NSW,METRO,1,1,26000,417
NSW,METRO,1,2,26000,531
NSW,METRO,1,3,26000,659
NSW,METRO,1,4,26000,787
NSW,METRO,1,5,26000,915
NSW,METRO,1,6,26000,1043
NSW,METRO,1,7,26000,1171
NSW,METRO,1,8,26000,1299
NSW,METRO,1,9,26000,1427
NSW,METRO,1,10,26000,1555
NSW,METRO,1,0,39000,329
NSW,METRO,1,1,39000,432
NSW,METRO,1,2,39000,545
NSW,METRO,1,3,39000,659
NSW,METRO,1,4,39000,772
NSW,METRO,1,5,39000,885
NSW,METRO,1,6,39000,998
NSW,METRO,1,7,39000,1112
NSW,METRO,1,8,39000,1225
NSW,METRO,1,9,39000,1338
NSW,METRO,1,10,39000,1452
NSW,METRO,1,0,52000,357
NSW,METRO,1,1,52000,461
NSW,METRO,1,2,52000,574
NSW,METRO,1,3,52000,687
NSW,METRO,1,4,52000,800
NSW,METRO,1,5,52000,913
NSW,METRO,1,6,52000,1027
NSW,METRO,1,7,52000,1140
NSW,METRO,1,8,52000,1253
NSW,METRO,1,9,52000,1366
NSW,METRO,1,10,52000,1479
NSW,METRO,1,0,64000,397
NSW,METRO,1,1,64000,501
NSW,METRO,1,2,64000,614
NSW,METRO,1,3,64000,727
NSW,METRO,1,4,64000,840
NSW,METRO,1,5,64000,953
NSW,METRO,1,6,64000,1066
NSW,METRO,1,7,64000,1179
NSW,METRO,1,8,64000,1292
NSW,METRO,1,9,64000,1405
NSW,METRO,1,10,64000,1518
NSW,METRO,1,0,77000,456
NSW,METRO,1,1,77000,561
NSW,METRO,1,2,77000,674
NSW,METRO,1,3,77000,787
NSW,METRO,1,4,77000,899
NSW,METRO,1,5,77000,1012
NSW,METRO,1,6,77000,1125
NSW,METRO,1,7,77000,1238
NSW,METRO,1,8,77000,1350
NSW,METRO,1,9,77000,1463
NSW,METRO,1,10,77000,1576
NSW,METRO,1,0,103000,543
NSW,METRO,1,1,103000,650
NSW,METRO,1,2,103000,762
NSW,METRO,1,3,103000,875
NSW,METRO,1,4,103000,987
NSW,METRO,1,5,103000,1099
NSW,METRO,1,6,103000,1212
NSW,METRO,1,7,103000,1324
NSW,METRO,1,8,103000,1436
NSW,METRO,1,9,103000,1548
NSW,METRO,1,10,103000,1661
NSW,METRO,1,0,129000,617
NSW,METRO,1,1,129000,726
NSW,METRO,1,2,129000,838
NSW,METRO,1,3,129000,950
NSW,METRO,1,4,129000,1062
NSW,METRO,1,5,129000,1174
NSW,METRO,1,6,129000,1286
NSW,METRO,1,7,129000,1398
NSW,METRO,1,8,129000,1510
NSW,METRO,1,9,129000,1622
NSW,METRO,1,10,129000,1734
NSW,METRO,1,0,155000,698
NSW,METRO,1,1,155000,809
NSW,METRO,1,2,155000,921
NSW,METRO,1,3,155000,1032
NSW,METRO,1,4,155000,1144
NSW,METRO,1,5,155000,1255
NSW,METRO,1,6,155000,1367
NSW,METRO,1,7,155000,1478
NSW,METRO,1,8,155000,1590
NSW,METRO,1,9,155000,1701
NSW,METRO,1,10,155000,1813
NSW,METRO,1,0,180000,746
NSW,METRO,1,1,180000,857
NSW,METRO,1,2,180000,969
NSW,METRO,1,3,180000,1080
NSW,METRO,1,4,180000,1191
NSW,METRO,1,5,180000,1303
NSW,METRO,1,6,180000,1414
NSW,METRO,1,7,180000,1525
NSW,METRO,1,8,180000,1637
NSW,METRO,1,9,180000,1748
NSW,METRO,1,10,180000,1859
NSW,METRO,1,0,206000,811
NSW,METRO,1,1,206000,923
NSW,METRO,1,2,206000,1034
NSW,METRO,1,3,206000,1145
NSW,METRO,1,4,206000,1257
NSW,METRO,1,5,206000,1368
NSW,METRO,1,6,206000,1479
NSW,METRO,1,7,206000,1590
NSW,METRO,1,8,206000,1701
NSW,METRO,1,9,206000,1812
NSW,METRO,1,10,206000,1923
NSW,METRO,1,0,258000,924
NSW,METRO,1,1,258000,1039
NSW,METRO,1,2,258000,1150
NSW,METRO,1,3,258000,1260
NSW,METRO,1,4,258000,1371
NSW,METRO,1,5,258000,1481
NSW,METRO,1,6,258000,1592
NSW,METRO,1,7,258000,1702
NSW,METRO,1,8,258000,1813
NSW,METRO,1,9,258000,1923
NSW,METRO,1,10,258000,2034
NSW,METRO,1,0,322000,1094
NSW,METRO,1,1,322000,1213
NSW,METRO,1,2,322000,1323
NSW,METRO,1,3,322000,1432
NSW,METRO,1,4,322000,1542
NSW,METRO,1,5,322000,1652
NSW,METRO,1,6,322000,1762
NSW,METRO,1,7,322000,1871
NSW,METRO,1,8,322000,1981
NSW,METRO,1,9,322000,2091
NSW,METRO,1,10,322000,2200
NSW,METRO,1,0,386000,1116
NSW,METRO,1,1,386000,1235
NSW,METRO,1,2,386000,1344
NSW,METRO,1,3,386000,1454
NSW,METRO,1,4,386000,1563
NSW,METRO,1,5,386000,1673
NSW,METRO,1,6,386000,1783
NSW,METRO,1,7,386000,1892
NSW,METRO,1,8,386000,2002
NSW,METRO,1,9,386000,2112
NSW,METRO,1,10,386000,2221
NSW,METRO,1,0,644000,1116
NSW,METRO,1,1,644000,1235
NSW,METRO,1,2,644000,1344
NSW,METRO,1,3,644000,1454
NSW,METRO,1,4,644000,1563
NSW,METRO,1,5,644000,1673
NSW,METRO,1,6,644000,1783
NSW,METRO,1,7,644000,1892
NSW,METRO,1,8,644000,2002
NSW,METRO,1,9,644000,2112
NSW,METRO,1,10,644000,2221
NSW,METRO,2,0,0,586
NSW,METRO,2,1,0,680
NSW,METRO,2,2,0,759
NSW,METRO,2,3,0,856
NSW,METRO,2,4,0,952
NSW,METRO,2,5,0,1048
NSW,METRO,2,6,0,1144
NSW,METRO,2,7,0,1240
NSW,METRO,2,8,0,1337
NSW,METRO,2,9,0,1433
NSW,METRO,2,10,0,1529
NSW,METRO,2,0,26000,586
NSW,METRO,2,1,26000,680
NSW,METRO,2,2,26000,759
NSW,METRO,2,3,26000,856
NSW,METRO,2,4,26000,952
NSW,METRO,2,5,26000,1048
NSW,METRO,2,6,26000,1144
NSW,METRO,2,7,26000,1240
NSW,METRO,2,8,26000,1337
NSW,METRO,2,9,26000,1433
NSW,METRO,2,10,26000,1529
NSW,METRO,2,0,39000,600
NSW,METRO,2,1,39000,680
NSW,METRO,2,2,39000,759
NSW,METRO,2,3,39000,856
NSW,METRO,2,4,39000,952
NSW,METRO,2,5,39000,1048
NSW,METRO,2,6,39000,1144
NSW,METRO,2,7,39000,1240
NSW,METRO,2,8,39000,1337
NSW,METRO,2,9,39000,1433
NSW,METRO,2,10,39000,1529
NSW,METRO,2,0,52000,629
NSW,METRO,2,1,52000,708
NSW,METRO,2,2,52000,788
NSW,METRO,2,3,52000,856
NSW,METRO,2,4,52000,924
NSW,METRO,2,5,52000,992
NSW,METRO,2,6,52000,1059
NSW,METRO,2,7,52000,1127
NSW,METRO,2,8,52000,1195
NSW,METRO,2,9,52000,1263
NSW,METRO,2,10,52000,1331
NSW,METRO,2,0,64000,668
NSW,METRO,2,1,64000,747
NSW,METRO,2,2,64000,827
NSW,METRO,2,3,64000,895
NSW,METRO,2,4,64000,963
NSW,METRO,2,5,64000,1031
NSW,METRO,2,6,64000,1098
NSW,METRO,2,7,64000,1166
NSW,METRO,2,8,64000,1234
NSW,METRO,2,9,64000,1302
NSW,METRO,2,10,64000,1370
NSW,METRO,2,0,77000,727
NSW,METRO,2,1,77000,806
NSW,METRO,2,2,77000,887
NSW,METRO,2,3,77000,954
NSW,METRO,2,4,77000,1022
NSW,METRO,2,5,77000,1089
NSW,METRO,2,6,77000,1157
NSW,METRO,2,7,77000,1224
NSW,METRO,2,8,77000,1292
NSW,METRO,2,9,77000,1360
NSW,METRO,2,10,77000,1427
NSW,METRO,2,0,103000,814
NSW,METRO,2,1,103000,893
NSW,METRO,2,2,103000,974
NSW,METRO,2,3,103000,1041
NSW,METRO,2,4,103000,1108
NSW,METRO,2,5,103000,1176
NSW,METRO,2,6,103000,1243
NSW,METRO,2,7,103000,1310
NSW,METRO,2,8,103000,1377
NSW,METRO,2,9,103000,1444
NSW,METRO,2,10,103000,1512
NSW,METRO,2,0,129000,889
NSW,METRO,2,1,129000,967
NSW,METRO,2,2,129000,1049
NSW,METRO,2,3,129000,1116
NSW,METRO,2,4,129000,1183
NSW,METRO,2,5,129000,1250
NSW,METRO,2,6,129000,1317
NSW,METRO,2,7,129000,1384
NSW,METRO,2,8,129000,1450
NSW,METRO,2,9,129000,1517
NSW,METRO,2,10,129000,1584
NSW,METRO,2,0,155000,970
NSW,METRO,2,1,155000,1048
NSW,METRO,2,2,155000,1130
NSW,METRO,2,3,155000,1197
NSW,METRO,2,4,155000,1264
NSW,METRO,2,5,155000,1330
NSW,METRO,2,6,155000,1397
NSW,METRO,2,7,155000,1463
NSW,METRO,2,8,155000,1530
NSW,METRO,2,9,155000,1597
NSW,METRO,2,10,155000,1663
NSW,METRO,2,0,180000,1017
NSW,METRO,2,1,180000,1096
NSW,METRO,2,2,180000,1178
NSW,METRO,2,3,180000,1244
NSW,METRO,2,4,180000,1311
NSW,METRO,2,5,180000,1377
NSW,METRO,2,6,180000,1444
NSW,METRO,2,7,180000,1510
NSW,METRO,2,8,180000,1576
NSW,METRO,2,9,180000,1643
NSW,METRO,2,10,180000,1709
NSW,METRO,2,0,206000,1082
NSW,METRO,2,1,206000,1160
NSW,METRO,2,2,206000,1243
NSW,METRO,2,3,206000,1309
NSW,METRO,2,4,206000,1375
NSW,METRO,2,5,206000,1441
NSW,METRO,2,6,206000,1508
NSW,METRO,2,7,206000,1574
NSW,METRO,2,8,206000,1640
NSW,METRO,2,9,206000,1706
NSW,METRO,2,10,206000,1772
NSW,METRO,2,0,258000,1196
NSW,METRO,2,1,258000,1274
NSW,METRO,2,2,258000,1357
NSW,METRO,2,3,258000,1423
NSW,METRO,2,4,258000,1488
NSW,METRO,2,5,258000,1554
NSW,METRO,2,6,258000,1620
NSW,METRO,2,7,258000,1686
NSW,METRO,2,8,258000,1751
NSW,METRO,2,9,258000,1817
NSW,METRO,2,10,258000,1883
NSW,METRO,2,0,322000,1366
NSW,METRO,2,1,322000,1444
NSW,METRO,2,2,322000,1528
NSW,METRO,2,3,322000,1593
NSW,METRO,2,4,322000,1658
NSW,METRO,2,5,322000,1723
NSW,METRO,2,6,322000,1788
NSW,METRO,2,7,322000,1853
NSW,METRO,2,8,322000,1918
NSW,METRO,2,9,322000,1983
NSW,METRO,2,10,322000,2048
NSW,METRO,2,0,386000,1387
NSW,METRO,2,1,386000,1465
NSW,METRO,2,2,386000,1549
NSW,METRO,2,3,386000,1614
NSW,METRO,2,4,386000,1679
NSW,METRO,2,5,386000,1744
NSW,METRO,2,6,386000,1809
NSW,METRO,2,7,386000,1874
NSW,METRO,2,8,386000,1939
NSW,METRO,2,9,386000,2004
NSW,METRO,2,10,386000,2069
NSW,METRO,2,0,644000,1387
NSW,METRO,2,1,644000,1465
NSW,METRO,2,2,644000,1549
NSW,METRO,2,3,644000,1614
NSW,METRO,2,4,644000,1679
NSW,METRO,2,5,644000,1744
NSW,METRO,2,6,644000,1809
NSW,METRO,2,7,644000,1874
NSW,METRO,2,8,644000,1939
NSW,METRO,2,9,644000,2004
NSW,METRO,2,10,644000,2069
NSW,NONMETRO,1,0,0,324
NSW,NONMETRO,1,1,0,444
NSW,NONMETRO,1,2,0,557
NSW,NONMETRO,1,3,0,685
NSW,NONMETRO,1,4,0,813
NSW,NONMETRO,1,5,0,941
NSW,NONMETRO,1,6,0,1069
NSW,NONMETRO,1,7,0,1197
NSW,NONMETRO,1,8,0,1325
NSW,NONMETRO,1,9,0,1453
NSW,NONMETRO,1,10,0,1581
NSW,NONMETRO,1,0,26000,341
NSW,NONMETRO,1,1,26000,444
NSW,NONMETRO,1,2,26000,557
NSW,NONMETRO,1,3,26000,685
NSW,NONMETRO,1,4,26000,813
NSW,NONMETRO,1,5,26000,941
NSW,NONMETRO,1,6,26000,1069
NSW,NONMETRO,1,7,26000,1197
NSW,NONMETRO,1,8,26000,1325
NSW,NONMETRO,1,9,26000,1453
NSW,NONMETRO,1,10,26000,1581
NSW,NONMETRO,1,0,39000,355
NSW,NONMETRO,1,1,39000,459
NSW,NONMETRO,1,2,39000,572
NSW,NONMETRO,1,3,39000,685
NSW,NONMETRO,1,4,39000,798
NSW,NONMETRO,1,5,39000,911
NSW,NONMETRO,1,6,39000,1025
NSW,NONMETRO,1,7,39000,1138
NSW,NONMETRO,1,8,39000,1251
NSW,NONMETRO,1,9,39000,1364
NSW,NONMETRO,1,10,39000,1477
NSW,NONMETRO,1,0,52000,383
NSW,NONMETRO,1,1,52000,488
NSW,NONMETRO,1,2,52000,601
NSW,NONMETRO,1,3,52000,714
NSW,NONMETRO,1,4,52000,827
NSW,NONMETRO,1,5,52000,940
NSW,NONMETRO,1,6,52000,1053
NSW,NONMETRO,1,7,52000,1166
NSW,NONMETRO,1,8,52000,1279
NSW,NONMETRO,1,9,52000,1392
NSW,NONMETRO,1,10,52000,1505
NSW,NONMETRO,1,0,64000,423
NSW,NONMETRO,1,1,64000,528
NSW,NONMETRO,1,2,64000,641
NSW,NONMETRO,1,3,64000,754
NSW,NONMETRO,1,4,64000,866
NSW,NONMETRO,1,5,64000,979
NSW,NONMETRO,1,6,64000,1092
NSW,NONMETRO,1,7,64000,1205
NSW,NONMETRO,1,8,64000,1318
NSW,NONMETRO,1,9,64000,1431
NSW,NONMETRO,1,10,64000,1543
NSW,NONMETRO,1,0,77000,482
NSW,NONMETRO,1,1,77000,588
NSW,NONMETRO,1,2,77000,701
NSW,NONMETRO,1,3,77000,813
NSW,NONMETRO,1,4,77000,926
NSW,NONMETRO,1,5,77000,1038
NSW,NONMETRO,1,6,77000,1151
NSW,NONMETRO,1,7,77000,1264
NSW,NONMETRO,1,8,77000,1376
NSW,NONMETRO,1,9,77000,1489
NSW,NONMETRO,1,10,77000,1601
NSW,NONMETRO,1,0,103000,569
NSW,NONMETRO,1,1,103000,677
NSW,NONMETRO,1,2,103000,789
NSW,NONMETRO,1,3,103000,901
NSW,NONMETRO,1,4,103000,1013
NSW,NONMETRO,1,5,103000,1126
NSW,NONMETRO,1,6,103000,1238
NSW,NONMETRO,1,7,103000,1350
NSW,NONMETRO,1,8,103000,1462
NSW,NONMETRO,1,9,103000,1574
NSW,NONMETRO,1,10,103000,1686
NSW,NONMETRO,1,0,129000,644
NSW,NONMETRO,1,1,129000,753
NSW,NONMETRO,1,2,129000,865
NSW,NONMETRO,1,3,129000,977
NSW,NONMETRO,1,4,129000,1088
NSW,NONMETRO,1,5,129000,1200
NSW,NONMETRO,1,6,129000,1312
NSW,NONMETRO,1,7,129000,1424
NSW,NONMETRO,1,8,129000,1536
NSW,NONMETRO,1,9,129000,1648
NSW,NONMETRO,1,10,129000,1759
NSW,NONMETRO,1,0,155000,725
NSW,NONMETRO,1,1,155000,836
NSW,NONMETRO,1,2,155000,947
NSW,NONMETRO,1,3,155000,1059
NSW,NONMETRO,1,4,155000,1170
NSW,NONMETRO,1,5,155000,1282
NSW,NONMETRO,1,6,155000,1393
NSW,NONMETRO,1,7,155000,1504
NSW,NONMETRO,1,8,155000,1616
NSW,NONMETRO,1,9,155000,1727
NSW,NONMETRO,1,10,155000,1839
NSW,NONMETRO,1,0,180000,772
NSW,NONMETRO,1,1,180000,884
NSW,NONMETRO,1,2,180000,995
NSW,NONMETRO,1,3,180000,1107
NSW,NONMETRO,1,4,180000,1218
NSW,NONMETRO,1,5,180000,1329
NSW,NONMETRO,1,6,180000,1440
NSW,NONMETRO,1,7,180000,1551
NSW,NONMETRO,1,8,180000,1663
NSW,NONMETRO,1,9,180000,1774
NSW,NONMETRO,1,10,180000,1885
NSW,NONMETRO,1,0,206000,837
NSW,NONMETRO,1,1,206000,950
NSW,NONMETRO,1,2,206000,1061
NSW,NONMETRO,1,3,206000,1172
NSW,NONMETRO,1,4,206000,1283
NSW,NONMETRO,1,5,206000,1394
NSW,NONMETRO,1,6,206000,1505
NSW,NONMETRO,1,7,206000,1616
NSW,NONMETRO,1,8,206000,1727
NSW,NONMETRO,1,9,206000,1837
NSW,NONMETRO,1,10,206000,1948
NSW,NONMETRO,1,0,258000,951
NSW,NONMETRO,1,1,258000,1066
NSW,NONMETRO,1,2,258000,1177
NSW,NONMETRO,1,3,258000,1287
NSW,NONMETRO,1,4,258000,1397
NSW,NONMETRO,1,5,258000,1508
NSW,NONMETRO,1,6,258000,1618
NSW,NONMETRO,1,7,258000,1728
NSW,NONMETRO,1,8,258000,1839
NSW,NONMETRO,1,9,258000,1949
NSW,NONMETRO,1,10,258000,2060
NSW,NONMETRO,1,0,322000,1121
NSW,NONMETRO,1,1,322000,1240
NSW,NONMETRO,1,2,322000,1349
NSW,NONMETRO,1,3,322000,1459
NSW,NONMETRO,1,4,322000,1569
NSW,NONMETRO,1,5,322000,1678
NSW,NONMETRO,1,6,322000,1788
NSW,NONMETRO,1,7,322000,1897
NSW,NONMETRO,1,8,322000,2007
NSW,NONMETRO,1,9,322000,2116
NSW,NONMETRO,1,10,322000,2226
NSW,NONMETRO,1,0,386000,1142
NSW,NONMETRO,1,1,386000,1262
NSW,NONMETRO,1,2,386000,1371
NSW,NONMETRO,1,3,386000,1480
NSW,NONMETRO,1,4,386000,1590
NSW,NONMETRO,1,5,386000,1699
NSW,NONMETRO,1,6,386000,1809
NSW,NONMETRO,1,7,386000,1918
NSW,NONMETRO,1,8,386000,2028
NSW,NONMETRO,1,9,386000,2137
NSW,NONMETRO,1,10,386000,2247
NSW,NONMETRO,1,0,644000,1142
NSW,NONMETRO,1,1,644000,1262
NSW,NONMETRO,1,2,644000,1371
NSW,NONMETRO,1,3,644000,1480
NSW,NONMETRO,1,4,644000,1590
NSW,NONMETRO,1,5,644000,1699
NSW,NONMETRO,1,6,644000,1809
NSW,NONMETRO,1,7,644000,1918
NSW,NONMETRO,1,8,644000,2028
NSW,NONMETRO,1,9,644000,2137
NSW,NONMETRO,1,10,644000,2247
NSW,NONMETRO,2,0,0,612
NSW,NONMETRO,2,1,0,706
NSW,NONMETRO,2,2,0,786
NSW,NONMETRO,2,3,0,882
NSW,NONMETRO,2,4,0,978
NSW,NONMETRO,2,5,0,1074
NSW,NONMETRO,2,6,0,1170
NSW,NONMETRO,2,7,0,1266
NSW,NONMETRO,2,8,0,1362
NSW,NONMETRO,2,9,0,1459
NSW,NONMETRO,2,10,0,1555
NSW,NONMETRO,2,0,26000,612
NSW,NONMETRO,2,1,26000,706
NSW,NONMETRO,2,2,26000,786
NSW,NONMETRO,2,3,26000,882
NSW,NONMETRO,2,4,26000,978
NSW,NONMETRO,2,5,26000,1074
NSW,NONMETRO,2,6,26000,1170
NSW,NONMETRO,2,7,26000,1266
NSW,NONMETRO,2,8,26000,1362
NSW,NONMETRO,2,9,26000,1459
NSW,NONMETRO,2,10,26000,1555
NSW,NONMETRO,2,0,39000,627
NSW,NONMETRO,2,1,39000,706
NSW,NONMETRO,2,2,39000,786
NSW,NONMETRO,2,3,39000,882
NSW,NONMETRO,2,4,39000,978
NSW,NONMETRO,2,5,39000,1074
NSW,NONMETRO,2,6,39000,1170
NSW,NONMETRO,2,7,39000,1266
NSW,NONMETRO,2,8,39000,1362
NSW,NONMETRO,2,9,39000,1459
NSW,NONMETRO,2,10,39000,1555
NSW,NONMETRO,2,0,52000,655
NSW,NONMETRO,2,1,52000,734
NSW,NONMETRO,2,2,52000,814
NSW,NONMETRO,2,3,52000,882
NSW,NONMETRO,2,4,52000,950
NSW,NONMETRO,2,5,52000,1018
NSW,NONMETRO,2,6,52000,1085
NSW,NONMETRO,2,7,52000,1153
NSW,NONMETRO,2,8,52000,1221
NSW,NONMETRO,2,9,52000,1289
NSW,NONMETRO,2,10,52000,1357
NSW,NONMETRO,2,0,64000,694
NSW,NONMETRO,2,1,64000,773
NSW,NONMETRO,2,2,64000,854
NSW,NONMETRO,2,3,64000,921
NSW,NONMETRO,2,4,64000,989
NSW,NONMETRO,2,5,64000,1057
NSW,NONMETRO,2,6,64000,1124
NSW,NONMETRO,2,7,64000,1192
NSW,NONMETRO,2,8,64000,1260
NSW,NONMETRO,2,9,64000,1327
NSW,NONMETRO,2,10,64000,1395
NSW,NONMETRO,2,0,77000,753
NSW,NONMETRO,2,1,77000,832
NSW,NONMETRO,2,2,77000,913
NSW,NONMETRO,2,3,77000,981
NSW,NONMETRO,2,4,77000,1048
NSW,NONMETRO,2,5,77000,1115
NSW,NONMETRO,2,6,77000,1183
NSW,NONMETRO,2,7,77000,1250
NSW,NONMETRO,2,8,77000,1318
NSW,NONMETRO,2,9,77000,1385
NSW,NONMETRO,2,10,77000,1453
NSW,NONMETRO,2,0,103000,840
NSW,NONMETRO,2,1,103000,919
NSW,NONMETRO,2,2,103000,1000
NSW,NONMETRO,2,3,103000,1068
NSW,NONMETRO,2,4,103000,1135
NSW,NONMETRO,2,5,103000,1202
NSW,NONMETRO,2,6,103000,1269
NSW,NONMETRO,2,7,103000,1336
NSW,NONMETRO,2,8,103000,1403
NSW,NONMETRO,2,9,103000,1470
NSW,NONMETRO,2,10,103000,1537
NSW,NONMETRO,2,0,129000,915
NSW,NONMETRO,2,1,129000,994
NSW,NONMETRO,2,2,129000,1075
NSW,NONMETRO,2,3,129000,1142
NSW,NONMETRO,2,4,129000,1209
NSW,NONMETRO,2,5,129000,1276
NSW,NONMETRO,2,6,129000,1343
NSW,NONMETRO,2,7,129000,1409
NSW,NONMETRO,2,8,129000,1476
NSW,NONMETRO,2,9,129000,1543
NSW,NONMETRO,2,10,129000,1610
NSW,NONMETRO,2,0,155000,996
NSW,NONMETRO,2,1,155000,1075
NSW,NONMETRO,2,2,155000,1157
NSW,NONMETRO,2,3,155000,1223
NSW,NONMETRO,2,4,155000,1290
NSW,NONMETRO,2,5,155000,1356
NSW,NONMETRO,2,6,155000,1423
NSW,NONMETRO,2,7,155000,1489
NSW,NONMETRO,2,8,155000,1556
NSW,NONMETRO,2,9,155000,1622
NSW,NONMETRO,2,10,155000,1689
NSW,NONMETRO,2,0,180000,1044
NSW,NONMETRO,2,1,180000,1122
NSW,NONMETRO,2,2,180000,1204
NSW,NONMETRO,2,3,180000,1271
NSW,NONMETRO,2,4,180000,1337
NSW,NONMETRO,2,5,180000,1403
NSW,NONMETRO,2,6,180000,1470
NSW,NONMETRO,2,7,180000,1536
NSW,NONMETRO,2,8,180000,1602
NSW,NONMETRO,2,9,180000,1669
NSW,NONMETRO,2,10,180000,1735
NSW,NONMETRO,2,0,206000,1108
NSW,NONMETRO,2,1,206000,1187
NSW,NONMETRO,2,2,206000,1269
NSW,NONMETRO,2,3,206000,1335
NSW,NONMETRO,2,4,206000,1401
NSW,NONMETRO,2,5,206000,1468
NSW,NONMETRO,2,6,206000,1534
NSW,NONMETRO,2,7,206000,1600
NSW,NONMETRO,2,8,206000,1666
NSW,NONMETRO,2,9,206000,1732
NSW,NONMETRO,2,10,206000,1798
NSW,NONMETRO,2,0,258000,1222
NSW,NONMETRO,2,1,258000,1300
NSW,NONMETRO,2,2,258000,1383
NSW,NONMETRO,2,3,258000,1449
NSW,NONMETRO,2,4,258000,1515
NSW,NONMETRO,2,5,258000,1580
NSW,NONMETRO,2,6,258000,1646
NSW,NONMETRO,2,7,258000,1711
NSW,NONMETRO,2,8,258000,1777
NSW,NONMETRO,2,9,258000,1843
NSW,NONMETRO,2,10,258000,1908
NSW,NONMETRO,2,0,322000,1392
NSW,NONMETRO,2,1,322000,1470
NSW,NONMETRO,2,2,322000,1554
NSW,NONMETRO,2,3,322000,1619
NSW,NONMETRO,2,4,322000,1684
NSW,NONMETRO,2,5,322000,1749
NSW,NONMETRO,2,6,322000,1814
NSW,NONMETRO,2,7,322000,1879
NSW,NONMETRO,2,8,322000,1944
NSW,NONMETRO,2,9,322000,2009
NSW,NONMETRO,2,10,322000,2074
NSW,NONMETRO,2,0,386000,1413
NSW,NONMETRO,2,1,386000,1491
NSW,NONMETRO,2,2,386000,1576
NSW,NONMETRO,2,3,386000,1640
NSW,NONMETRO,2,4,386000,1705
NSW,NONMETRO,2,5,386000,1770
NSW,NONMETRO,2,6,386000,1835
NSW,NONMETRO,2,7,386000,1900
NSW,NONMETRO,2,8,386000,1965
NSW,NONMETRO,2,9,386000,2030
NSW,NONMETRO,2,10,386000,2095
NSW,NONMETRO,2,0,644000,1413
NSW,NONMETRO,2,1,644000,1491
NSW,NONMETRO,2,2,644000,1576
NSW,NONMETRO,2,3,644000,1640
NSW,NONMETRO,2,4,644000,1705
NSW,NONMETRO,2,5,644000,1770
NSW,NONMETRO,2,6,644000,1835
NSW,NONMETRO,2,7,644000,1900
NSW,NONMETRO,2,8,644000,1965
NSW,NONMETRO,2,9,644000,2030
NSW,NONMETRO,2,10,644000,2095
VIC,METRO,1,0,0,314
VIC,METRO,1,1,0,434
VIC,METRO,1,2,0,547
VIC,METRO,1,3,0,675
VIC,METRO,1,4,0,803
VIC,METRO,1,5,0,931
VIC,METRO,1,6,0,1059
VIC,METRO,1,7,0,1187
VIC,METRO,1,8,0,1315
VIC,METRO,1,9,0,1443
VIC,METRO,1,10,0,1571
VIC,METRO,1,0,26000,331
VIC,METRO,1,1,26000,434
VIC,METRO,1,2,26000,547
VIC,METRO,1,3,26000,675
VIC,METRO,1,4,26000,803
VIC,METRO,1,5,26000,931
VIC,METRO,1,6,26000,1059
VIC,METRO,1,7,26000,1187
VIC,METRO,1,8,26000,1315
VIC,METRO,1,9,26000,1443
VIC,METRO,1,10,26000,1571
VIC,METRO,1,0,39000,346
VIC,METRO,1,1,39000,449
VIC,METRO,1,2,39000,562
VIC,METRO,1,3,39000,675
VIC,METRO,1,4,39000,789
VIC,METRO,1,5,39000,902
VIC,METRO,1,6,39000,1015
VIC,METRO,1,7,39000,1128
VIC,METRO,1,8,39000,1241
VIC,METRO,1,9,39000,1355
VIC,METRO,1,10,39000,1468
VIC,METRO,1,0,52000,374
VIC,METRO,1,1,52000,478
VIC,METRO,1,2,52000,591
VIC,METRO,1,3,52000,704
VIC,METRO,1,4,52000,817
VIC,METRO,1,5,52000,930
VIC,METRO,1,6,52000,1043
VIC,METRO,1,7,52000,1156
VIC,METRO,1,8,52000,1269
VIC,METRO,1,9,52000,1382
VIC,METRO,1,10,52000,1495
VIC,METRO,1,0,64000,413
VIC,METRO,1,1,64000,518
VIC,METRO,1,2,64000,631
VIC,METRO,1,3,64000,744
VIC,METRO,1,4,64000,857
VIC,METRO,1,5,64000,969
VIC,METRO,1,6,64000,1082
VIC,METRO,1,7,64000,1195
VIC,METRO,1,8,64000,1308
VIC,METRO,1,9,64000,1421
VIC,METRO,1,10,64000,1534
VIC,METRO,1,0,77000,472
VIC,METRO,1,1,77000,578
VIC,METRO,1,2,77000,691
VIC,METRO,1,3,77000,803
VIC,METRO,1,4,77000,916
VIC,METRO,1,5,77000,1029
VIC,METRO,1,6,77000,1141
VIC,METRO,1,7,77000,1254
VIC,METRO,1,8,77000,1367
VIC,METRO,1,9,77000,1479
VIC,METRO,1,10,77000,1592
VIC,METRO,1,0,103000,559
VIC,METRO,1,1,103000,667
VIC,METRO,1,2,103000,779
VIC,METRO,1,3,103000,891
VIC,METRO,1,4,103000,1004
VIC,METRO,1,5,103000,1116
VIC,METRO,1,6,103000,1228
VIC,METRO,1,7,103000,1340
VIC,METRO,1,8,103000,1452
